profile,quantile,scope,metric,arm,cap,unit,equal_scenario_feasibility,min_scenario_feasibility,max_scenario_feasibility,feasible_streams,total_streams
POOLED_Q95,0.95,single_axis,process_cpu_seconds,CHAMPION-RESEED,16.245385699999996,seconds,0.9535714285714285,0.8,1.0,1068,1120
POOLED_Q95,0.95,single_axis,process_cpu_seconds,POPULATION-RESEED,16.245385699999996,seconds,0.9401785714285715,0.75,1.0,1053,1120
POOLED_Q95,0.95,single_axis,process_cpu_seconds,PERSIST,16.245385699999996,seconds,0.95625,0.85,1.0,1071,1120
POOLED_Q95,0.95,single_axis,elapsed_seconds,CHAMPION-RESEED,15.06515024665,seconds,0.9482142857142858,0.7875,1.0,1062,1120
POOLED_Q95,0.95,single_axis,elapsed_seconds,POPULATION-RESEED,15.06515024665,seconds,0.9437499999999999,0.7625,1.0,1057,1120
POOLED_Q95,0.95,single_axis,elapsed_seconds,PERSIST,15.06515024665,seconds,0.9580357142857144,0.8375,1.0,1073,1120
POOLED_Q95,0.95,single_axis,prediction_ns_per_prediction,CHAMPION-RESEED,801.5061249999978,nanoseconds per prediction,0.9339285714285716,0.875,0.975,1046,1120
POOLED_Q95,0.95,single_axis,prediction_ns_per_prediction,POPULATION-RESEED,801.5061249999978,nanoseconds per prediction,0.9624999999999998,0.8875,1.0,1078,1120
POOLED_Q95,0.95,single_axis,prediction_ns_per_prediction,PERSIST,801.5061249999978,nanoseconds per prediction,0.9535714285714284,0.9125,1.0,1068,1120
POOLED_Q95,0.95,single_axis,state_snapshot_mib,CHAMPION-RESEED,4.894113683700561,MiB,0.9580357142857141,0.825,1.0,1073,1120
POOLED_Q95,0.95,single_axis,state_snapshot_mib,POPULATION-RESEED,4.894113683700561,MiB,0.9062500000000002,0.675,1.0,1015,1120
POOLED_Q95,0.95,single_axis,state_snapshot_mib,PERSIST,4.894113683700561,MiB,0.9857142857142858,0.9125,1.0,1104,1120
POOLED_Q95,0.95,single_axis,provenance_mib,CHAMPION-RESEED,403.21738004684437,MiB,0.9348214285714286,0.75,1.0,1047,1120
POOLED_Q95,0.95,single_axis,provenance_mib,POPULATION-RESEED,403.21738004684437,MiB,0.9169642857142858,0.7125,1.0,1027,1120
POOLED_Q95,0.95,single_axis,provenance_mib,PERSIST,403.21738004684437,MiB,0.9982142857142858,0.9875,1.0,1118,1120
POOLED_Q95,0.95,joint_all_six,ALL_CANONICAL_AXES,CHAMPION-RESEED,,vector budget,0.8508928571428571,0.675,0.975,953,1120
POOLED_Q95,0.95,joint_all_six,ALL_CANONICAL_AXES,POPULATION-RESEED,,vector budget,0.7875000000000002,0.55,1.0,882,1120
POOLED_Q95,0.95,joint_all_six,ALL_CANONICAL_AXES,PERSIST,,vector budget,0.9080357142857144,0.8,1.0,1017,1120
POOLED_Q95,0.95,joint_five_non_latency,ALL_EXCEPT_PREDICTION,CHAMPION-RESEED,,vector budget,0.911607142857143,0.7375,1.0,1021,1120
POOLED_Q95,0.95,joint_five_non_latency,ALL_EXCEPT_PREDICTION,POPULATION-RESEED,,vector budget,0.8178571428571427,0.575,1.0,916,1120
POOLED_Q95,0.95,joint_five_non_latency,ALL_EXCEPT_PREDICTION,PERSIST,,vector budget,0.9508928571428571,0.825,1.0,1065,1120
