global_schedule_index,segment,scenario_id,realisation,source_key_hex,arm,mean_loss_2000,adaptation_apw_total,construction_apw_total,prediction_time_ns_total,state_snapshot_bytes,provenance_event_bytes,provenance_event_count,total_apw,process_cpu_ns_total,elapsed_ns_total,process_cpu_seconds,elapsed_seconds,prediction_ns_per_prediction,peak_rss_bytes,peak_rss_mib,state_snapshot_mib,provenance_mib
108,R4,LOCAL_TREE-ABRUPT-SEVERE,28,b2128b02b682e863,POPULATION-RESEED,0.17125,65312520.0,1196.0,1198826.5,2132428.5,206987531.5,296140.0,65313716.0,10485278000.0,9911491749.0,10.485278,9.911491749,599.41325,371281920.0,354.08203125,2.033642292022705,197.39869260787964
109,R4,LOCAL_TREE-ABRUPT-SEVERE,29,9676648648defb68,CHAMPION-RESEED,0.1875,65312520.0,10.0,1216218.5,2197376.0,202818508.0,297976.5,65312530.0,10453784500.0,9923784271.0,10.4537845,9.923784271,608.10925,296390656.0,282.66015625,2.0955810546875,193.42280197143555
109,R4,LOCAL_TREE-ABRUPT-SEVERE,29,9676648648defb68,PERSIST,0.19724999999999998,65312519.5,0.0,1203400.0,2214775.5,179041818.0,289312.5,65312519.5,10381832000.0,9824894900.5,10.381832,9.8248949005,601.7,290605056.0,277.142578125,2.1121745109558105,170.74758338928223
109,R4,LOCAL_TREE-ABRUPT-SEVERE,29,9676648648defb68,POPULATION-RESEED,0.22349999999999998,65312520.0,1192.0,1210444.5,2774562.5,229664558.0,325539.5,65313712.0,11078871500.0,10440598179.5,11.0788715,10.4405981795,605.22225,300544000.0,286.62109375,2.646028995513916,219.02519035339355
110,R4,LOCAL_TREE-ABRUPT-SEVERE,30,02d69e6d4da16e48,CHAMPION-RESEED,0.2105,65312520.0,14.0,1283303.5,3452504.0,306120396.0,434442.0,65312534.0,12707601500.0,11981368307.5,12.7076015,11.9813683075,641.65175,391659520.0,373.515625,3.2925643920898438,291.93915939331055
110,R4,LOCAL_TREE-ABRUPT-SEVERE,30,02d69e6d4da16e48,PERSIST,0.243,65312520.0,0.0,1242735.0,3390817.0,236684252.5,378053.0,65312520.0,11840753000.0,11114343157.0,11.840753,11.114343157,621.3675,385003520.0,367.16796875,3.2337350845336914,225.71969270706177
110,R4,LOCAL_TREE-ABRUPT-SEVERE,30,02d69e6d4da16e48,POPULATION-RESEED,0.23375,65312520.0,2088.0,1294547.5,3017275.5,262990500.5,367283.0,65314608.0,11585989000.0,11029861834.0,11.585989,11.029861834,647.27375,409542656.0,390.5703125,2.877498149871826,250.80728578567505
111,R4,LOCAL_TREE-ABRUPT-SEVERE,31,29700829041a3273,CHAMPION-RESEED,0.21875,65312520.0,15.0,1382737.0,3568956.5,276118509.5,392438.0,65312535.0,12108298500.0,11399800611.5,12.1082985,11.3998006115,691.3685,311015424.0,296.607421875,3.4036221504211426,263.32713079452515
111,R4,LOCAL_TREE-ABRUPT-SEVERE,31,29700829041a3273,PERSIST,0.2205,65312520.0,0.0,1384175.5,2896216.5,217132415.0,346981.5,65312520.0,11387573000.0,10758695861.5,11.387573,10.7586958615,692.08775,308242432.0,293.962890625,2.762047290802002,207.07360744476318
111,R4,LOCAL_TREE-ABRUPT-SEVERE,31,29700829041a3273,POPULATION-RESEED,0.252,65312520.0,2259.0,1314918.0,3067590.0,230651219.0,324379.0,65314779.0,11083160000.0,10489694143.5,11.08316,10.4896941435,657.459,328744960.0,313.515625,2.9254817962646484,219.96614360809326
112,R4,LOCAL_TREE-ABRUPT-SEVERE,32,3d2531d020e62393,CHAMPION-RESEED,0.212,65312520.0,13.0,1228996.5,2855286.0,256944507.5,368927.0,65312533.0,11850833000.0,11139240640.5,11.850833,11.1392406405,614.49825,337858560.0,322.20703125,2.723012924194336,245.04137754440308
112,R4,LOCAL_TREE-ABRUPT-SEVERE,32,3d2531d020e62393,PERSIST,0.22299999999999998,65312520.0,0.0,1251091.0,2886388.0,239788214.0,380841.0,65312520.0,12142501000.0,11271760963.5,12.142501,11.2717609635,625.5455,320086016.0,305.2578125,2.752674102783203,228.6798610687256
112,R4,LOCAL_TREE-ABRUPT-SEVERE,32,3d2531d020e62393,POPULATION-RESEED,0.2235,65312520.0,1910.0,1215446.0,3261832.5,265063120.5,370133.0,65314430.0,12094878000.0,11288545754.5,12.094878,11.2885457545,607.723,338878464.0,323.1796875,3.1107258796691895,252.78389024734497
113,R4,LOCAL_TREE-ABRUPT-SEVERE,33,4fdb037eb118468c,CHAMPION-RESEED,0.22375,65312520.0,13.0,1227462.5,3066367.5,285425805.5,407355.5,65312533.0,12427571000.0,11664761976.5,12.427571,11.6647619765,613.73125,323952640.0,308.9453125,2.924315929412842,272.20325994491577
113,R4,LOCAL_TREE-ABRUPT-SEVERE,33,4fdb037eb118468c,PERSIST,0.21575,65312520.0,0.0,1263835.0,2994884.0,239863022.5,381194.0,65312520.0,11932989500.0,11224638919.0,11.9329895,11.224638919,631.9175,318613504.0,303.853515625,2.8561439514160156,228.75120401382446
113,R4,LOCAL_TREE-ABRUPT-SEVERE,33,4fdb037eb118468c,POPULATION-RESEED,0.237,65312520.0,1919.0,1226185.5,2914740.0,261892314.5,366036.5,65314439.0,11786407500.0,11149278006.5,11.7864075,11.1492780065,613.09275,355584000.0,339.111328125,2.779712677001953,249.75997400283813
114,R4,LOCAL_TREE-ABRUPT-SEVERE,34,66885b3b2157b2f4,CHAMPION-RESEED,0.23075,65312520.0,13.0,1275692.0,2648306.0,278402883.5,397886.0,65312533.0,12046478000.0,11373033669.0,12.046478,11.373033669,637.846,333391872.0,317.947265625,2.5256214141845703,265.50567960739136
114,R4,LOCAL_TREE-ABRUPT-SEVERE,34,66885b3b2157b2f4,PERSIST,0.29725,65312520.0,0.0,1289998.0,3213876.0,228191307.0,363751.5,65312520.0,11434778000.0,10789707647.0,11.434778,10.789707647,644.999,308606976.0,294.310546875,3.064990997314453,217.62018871307373
114,R4,LOCAL_TREE-ABRUPT-SEVERE,34,66885b3b2157b2f4,POPULATION-RESEED,0.23149999999999998,65312520.0,1870.0,1292712.5,3580061.0,261038097.0,364843.5,65314390.0,11523255500.0,10954656541.0,11.5232555,10.954656541,646.35625,348954624.0,332.7890625,3.414212226867676,248.94532871246338
115,R4,LOCAL_TREE-ABRUPT-SEVERE,35,872952251bb5a74b,CHAMPION-RESEED,0.239,65312520.0,14.0,1189375.5,4442886.5,299242898.0,424784.5,65312534.0,12807368000.0,11970764847.5,12.807368,11.9707648475,594.68775,322621440.0,307.67578125,4.237066745758057,285.3802661895752
115,R4,LOCAL_TREE-ABRUPT-SEVERE,35,872952251bb5a74b,PERSIST,0.226,65312520.0,0.0,1172218.5,2689443.5,221382441.5,354932.5,65312520.0,11537677500.0,10773625035.0,11.5376775,10.773625035,586.10925,299741184.0,285.85546875,2.5648531913757324,211.12674856185913
115,R4,LOCAL_TREE-ABRUPT-SEVERE,35,872952251bb5a74b,POPULATION-RESEED,0.2315,65312520.0,1896.0,1125425.5,3890126.5,273910429.0,381491.5,65314416.0,12231503000.0,11397062511.0,12.231503,11.397062511,562.71275,333496320.0,318.046875,3.709913730621338,261.2213411331177
116,R4,LOCAL_TREE-ABRUPT-SEVERE,36,30bcf7d7ded0ad10,CHAMPION-RESEED,0.2125,65312520.0,15.0,1278402.5,3090750.5,249886907.5,357571.0,65312535.0,11884075500.0,11318602061.5,11.8840755,11.3186020615,639.20125,350429184.0,334.1953125,2.9475693702697754,238.31072568893433
116,R4,LOCAL_TREE-ABRUPT-SEVERE,36,30bcf7d7ded0ad10,PERSIST,0.252,65312520.0,0.0,1313533.5,2731081.5,229395268.0,365283.0,65312520.0,12185346500.0,11491128102.5,12.1853465,11.4911281025,656.76675,316276736.0,301.625,2.604562282562256,218.76837539672852
116,R4,LOCAL_TREE-ABRUPT-SEVERE,36,30bcf7d7ded0ad10,POPULATION-RESEED,0.22375,65312520.0,2263.0,1280369.5,3239824.0,280388903.5,388744.5,65314783.0,13186285000.0,12526496850.0,13.186285,12.52649685,640.18475,365195264.0,348.27734375,3.0897369384765625,267.3996958732605
117,R4,LOCAL_TREE-ABRUPT-SEVERE,37,20690295d5d79cba,CHAMPION-RESEED,0.19075,65312520.0,12.0,1303253.5,3013129.5,246651731.5,355218.5,65312532.0,11237724500.0,10756761062.5,11.2377245,10.7567610625,651.62675,340250624.0,324.48828125,2.873544216156006,235.22542142868042
